競馬場,レース,式別,馬番1,馬番2,馬番3,金額,発走,オッズ,人気,EV,頑健下限,判定,出典,グループ
阪神(土),11,馬連,4,9,,100,15:45,28.1,8,0.991,0.869,pass,ref,G001
阪神(土),11,馬連,4,10,,100,15:45,58.8,21,0.849,0.759,pass,ref,G001
阪神(土),11,馬単,4,9,,100,15:45,69.5,23,1.047,0.857,apparent,ref,G002
阪神(土),11,馬単,4,10,,100,15:45,126.0,46,0.903,0.807,pass,ref,G002
阪神(土),11,3連複,4,9,10,100,15:45,66.5,17,0.673,0.544,pass,ref,G003
阪神(土),11,3連複,4,7,9,100,15:45,98.2,28,0.923,0.758,pass,ref,G003
阪神(土),11,3連複,4,9,11,100,15:45,45.5,9,0.857,0.664,pass,ref,G003
阪神(土),11,3連複,4,7,10,100,15:45,237.3,77,0.937,0.825,pass,ref,G003
阪神(土),11,3連複,4,10,11,100,15:45,106.3,30,0.854,0.722,pass,ref,G003
阪神(土),11,3連複,4,7,11,100,15:45,134.1,44,0.999,0.860,pass,ref,G003
