date,race_id,jyo_code,venue,race_no,post_time,bet_type,bet_type_code,combo,amount,group_id,group_method,group_points,odds,ninki,ev,ev_low,judge,source,odds_time,finished,refunded,hit,payout_yen,payout_ninki,return,profit
20260912,202606040308,06,中山,8,13:40,馬連,4,04-08,100,G001,nagashi,2,32.0,15,0.773,0.687,pass,ref,2026-09-12 10:35:51,1,,,,,0,-100
20260912,202606040308,06,中山,8,13:40,馬連,4,04-07,100,G001,nagashi,2,113.6,30,1.337,1.154,buy,ref,2026-09-12 10:35:51,1,,,,,0,-100
20260912,202606040308,06,中山,8,13:40,馬単,6,04>08,100,G002,nagashi_1st,2,89.1,41,0.966,0.816,pass,ref,2026-09-12 10:35:51,1,,,,,0,-100
20260912,202606040308,06,中山,8,13:40,馬単,6,04>07,100,G002,nagashi_1st,2,249.7,66,1.473,1.267,buy,ref,2026-09-12 10:35:51,1,,,,,0,-100
20260912,202606040308,06,中山,8,13:40,3連複,7,04-07-08,100,G003,nagashi,1,169.0,55,1.054,0.906,apparent,ref,2026-09-12 10:35:51,1,,,,,0,-100
20260912,202609040308,09,阪神,8,13:55,馬連,4,06-07,100,G004,nagashi,1,9.3,3,0.905,0.780,pass,ref,2026-09-12 10:50:56,1,,,,,0,-100
20260912,202609040308,09,阪神,8,13:55,馬単,6,06>07,100,G005,nagashi_1st,1,18.9,6,0.876,0.740,pass,ref,2026-09-12 10:50:56,1,,,,,0,-100
20260912,202606040309,06,中山,9,14:10,馬連,4,10-12,100,G006,nagashi,2,7.2,2,0.293,0.250,pass,ref,2026-09-12 11:06:52,1,,,,,0,-100
20260912,202606040309,06,中山,9,14:10,馬連,4,10-13,100,G006,nagashi,2,26.8,9,2.142,1.864,buy,ref,2026-09-12 11:06:52,1,,,,,0,-100
20260912,202606040309,06,中山,9,14:10,馬単,6,10>12,100,G007,nagashi_1st,2,19.6,6,0.356,0.288,pass,ref,2026-09-12 11:06:52,1,,,,,0,-100
