競馬場,レース,式別,馬番1,馬番2,馬番3,金額,発走,オッズ,人気,EV,頑健下限,判定,出典,グループ
中山(日),9,馬連,5,10,,100,14:25,15.1,7,0.838,0.754,pass,ref,G001
中山(日),9,馬連,3,10,,100,14:25,6.6,1,0.644,0.581,pass,ref,G001
中山(日),9,馬単,10,5,,100,14:25,24.4,12,0.737,0.676,pass,ref,G002
中山(日),9,馬単,10,3,,100,14:25,12.1,2,0.585,0.521,pass,ref,G002
中山(日),9,3連複,3,5,10,100,14:25,13.9,5,0.596,0.468,pass,ref,G003
阪神(日),10,馬連,5,15,,100,14:50,38.3,17,0.991,0.880,pass,ref,G004
阪神(日),10,馬連,12,15,,100,14:50,60.2,22,1.003,0.895,apparent,ref,G004
阪神(日),10,馬単,15,5,,100,14:50,125.6,42,1.332,1.083,buy,ref,G005
阪神(日),10,馬単,15,12,,100,14:50,141.3,47,1.048,0.896,apparent,ref,G005
阪神(日),10,3連複,5,12,15,100,14:50,63.1,23,0.731,0.590,pass,ref,G006
中山(日),10,馬連,6,8,,100,15:05,37.1,13,2.560,2.235,buy,ref,G007
中山(日),10,馬連,8,9,,100,15:05,7.8,2,0.530,0.474,pass,ref,G007
中山(日),10,馬単,8,6,,100,15:05,52.2,16,2.253,2.053,buy,ref,G008
中山(日),10,馬単,8,9,,100,15:05,10.8,2,0.460,0.428,pass,ref,G008
中山(日),10,3連複,6,8,9,100,15:05,78.4,25,1.634,1.260,buy,ref,G009
阪神(日),11,馬連,7,9,,100,15:30,43.5,15,1.108,0.996,apparent,ref,G010
阪神(日),11,馬連,9,10,,100,15:30,55.3,23,0.821,0.769,pass,ref,G010
阪神(日),11,馬単,9,7,,100,15:30,84.7,30,1.172,1.082,buy,ref,G011
阪神(日),11,馬単,9,10,,100,15:30,84.2,29,0.724,0.636,pass,ref,G011
阪神(日),11,3連複,7,9,10,100,15:30,200.4,70,0.829,0.730,pass,ref,G012
中山(日),11,馬連,9,13,,100,15:45,17.2,6,0.758,0.660,pass,ref,G013
中山(日),11,馬連,4,13,,100,15:45,39.3,17,1.039,0.925,apparent,ref,G013
中山(日),11,馬単,13,9,,100,15:45,43.0,18,0.827,0.680,pass,ref,G014
中山(日),11,馬単,13,4,,100,15:45,90.4,34,1.145,0.999,apparent,ref,G014
中山(日),11,3連複,4,9,13,100,15:45,33.0,9,0.668,0.531,pass,ref,G015
