date,race_id,jyo_code,venue,race_no,post_time,bet_type,bet_type_code,combo,amount,group_id,group_method,group_points,odds,ninki,ev,ev_low,judge,source,odds_time
20260920,202606040609,06,中山,9,14:25,馬連,4,05-10,100,G001,nagashi,2,15.0,7,0.837,0.752,pass,ref,2026-09-20 12:20:07
20260920,202606040609,06,中山,9,14:25,馬連,4,03-10,100,G001,nagashi,2,6.4,1,0.645,0.581,pass,ref,2026-09-20 12:20:07
20260920,202606040609,06,中山,9,14:25,馬単,6,10>05,100,G002,nagashi_1st,2,23.3,9,0.707,0.647,pass,ref,2026-09-20 12:20:07
20260920,202606040609,06,中山,9,14:25,馬単,6,10>03,100,G002,nagashi_1st,2,12.0,2,0.595,0.529,pass,ref,2026-09-20 12:20:07
20260920,202606040609,06,中山,9,14:25,3連複,7,03-05-10,100,G003,nagashi,1,13.9,5,0.617,0.484,pass,ref,2026-09-20 12:20:07
20260920,202609040610,09,阪神,10,14:50,馬連,4,05-15,100,G004,nagashi,2,38.9,17,0.957,0.852,pass,ref,2026-09-20 11:46:52
20260920,202609040610,09,阪神,10,14:50,馬連,4,12-15,100,G004,nagashi,2,61.7,22,0.957,0.843,pass,ref,2026-09-20 11:46:52
20260920,202609040610,09,阪神,10,14:50,馬単,6,15>05,100,G005,nagashi_1st,2,130.1,42,1.311,1.068,buy,ref,2026-09-20 11:46:52
20260920,202609040610,09,阪神,10,14:50,馬単,6,15>12,100,G005,nagashi_1st,2,139.5,47,0.966,0.829,pass,ref,2026-09-20 11:46:52
20260920,202609040610,09,阪神,10,14:50,3連複,7,05-12-15,100,G006,nagashi,1,62.7,23,0.667,0.542,pass,ref,2026-09-20 11:46:52
20260920,202606040610,06,中山,10,15:05,馬連,4,06-08,100,G007,nagashi,2,36.3,12,2.798,2.431,buy,ref,2026-09-20 12:00:02
20260920,202606040610,06,中山,10,15:05,馬連,4,08-09,100,G007,nagashi,2,7.8,2,0.588,0.525,pass,ref,2026-09-20 12:00:02
20260920,202606040610,06,中山,10,15:05,馬単,6,08>06,100,G008,nagashi_1st,2,54.6,16,2.738,2.486,buy,ref,2026-09-20 12:00:02
20260920,202606040610,06,中山,10,15:05,馬単,6,08>09,100,G008,nagashi_1st,2,10.4,2,0.511,0.476,pass,ref,2026-09-20 12:00:02
20260920,202606040610,06,中山,10,15:05,3連複,7,06-08-09,100,G009,nagashi,1,77.6,25,1.755,1.346,buy,ref,2026-09-20 12:00:02
20260920,202609040611,09,阪神,11,15:30,馬連,4,07-09,100,G010,nagashi,2,43.5,15,1.108,0.996,apparent,ref,2026-09-20 11:26:27
20260920,202609040611,09,阪神,11,15:30,馬連,4,09-10,100,G010,nagashi,2,55.3,23,0.821,0.769,pass,ref,2026-09-20 11:26:27
20260920,202609040611,09,阪神,11,15:30,馬単,6,09>07,100,G011,nagashi_1st,2,84.7,30,1.172,1.082,buy,ref,2026-09-20 11:26:27
20260920,202609040611,09,阪神,11,15:30,馬単,6,09>10,100,G011,nagashi_1st,2,84.2,29,0.724,0.636,pass,ref,2026-09-20 11:26:27
20260920,202609040611,09,阪神,11,15:30,3連複,7,07-09-10,100,G012,nagashi,1,200.4,70,0.829,0.730,pass,ref,2026-09-20 11:26:27
20260920,202606040611,06,中山,11,15:45,馬連,4,09-13,100,G013,nagashi,2,17.0,6,0.773,0.671,pass,ref,2026-09-20 11:41:57
20260920,202606040611,06,中山,11,15:45,馬連,4,04-13,100,G013,nagashi,2,39.1,17,0.931,0.804,pass,ref,2026-09-20 11:41:57
20260920,202606040611,06,中山,11,15:45,馬単,6,13>09,100,G014,nagashi_1st,2,42.0,17,0.803,0.651,pass,ref,2026-09-20 11:41:57
20260920,202606040611,06,中山,11,15:45,馬単,6,13>04,100,G014,nagashi_1st,2,91.6,34,1.036,0.901,apparent,ref,2026-09-20 11:41:57
20260920,202606040611,06,中山,11,15:45,3連複,7,04-09-13,100,G015,nagashi,1,32.5,8,0.673,0.534,pass,ref,2026-09-20 11:41:57
