競馬場,レース,式別,馬番1,馬番2,馬番3,金額,発走,オッズ,人気,EV,頑健下限,判定,出典,グループ
中山(火),7,馬連,7,8,,100,13:10,35.7,8,1.606,1.355,buy,ref,G001
中山(火),7,馬単,8,7,,100,13:10,74.1,15,0.849,0.609,pass,ref,G002
中山(火),10,馬連,2,5,,100,14:50,13.0,4,0.793,0.708,pass,ref,G003
中山(火),10,馬連,2,7,,100,14:50,31.4,12,0.965,0.885,pass,ref,G003
中山(火),10,馬単,2,5,,100,14:50,34.4,12,0.945,0.810,pass,ref,G004
中山(火),10,馬単,2,7,,100,14:50,65.0,25,1.015,0.919,apparent,ref,G004
中山(火),10,3連複,2,5,7,100,14:50,30.8,9,0.789,0.658,pass,ref,G005
中山(火),11,馬連,9,13,,100,15:30,286.0,72,1.476,1.163,buy,ref,G006
中山(火),11,馬連,5,13,,100,15:30,81.5,25,1.052,0.946,apparent,ref,G006
中山(火),11,馬単,13,9,,100,15:30,493.6,142,1.225,0.995,apparent,ref,G007
中山(火),11,馬単,13,5,,100,15:30,197.8,68,1.065,0.895,apparent,ref,G007
中山(火),11,3連複,5,9,13,100,15:30,511.7,148,1.354,1.102,buy,ref,G008
