競馬場,レース,式別,馬番1,馬番2,馬番3,金額,発走,オッズ,人気,EV,頑健下限,判定,出典,グループ,区分
中山(火),4,3連複,6,8,9,100,11:20,218.7,45,1.261,0.836,apparent,box,G002,複勝専門店＋Logic
中山(火),4,馬連,6,8,,100,11:20,71.1,18,1.339,1.132,buy,box,G001,複勝専門店＋Logic
中山(火),4,馬連,6,9,,100,11:20,33.0,11,1.034,0.931,apparent,box,G001,複勝専門店＋Logic
中山(火),4,馬連,8,9,,100,11:20,137.0,27,0.921,0.703,pass,box,G001,複勝専門店＋Logic
中山(火),7,3連複,2,3,7,100,13:10,27.3,10,0.666,0.545,pass,box,G005,複勝専門店＋Logic
中山(火),7,馬単,7,2,,100,13:10,18.2,7,0.889,0.852,pass,ref,G004,複勝専門店＋Logic
中山(火),7,馬単,7,3,,100,13:10,11.1,2,0.757,0.700,pass,ref,G004,複勝専門店＋Logic
中山(火),7,馬単,8,7,,100,13:10,74.1,15,0.849,0.609,pass,ref,G002,非馬
中山(火),7,馬連,2,3,,100,13:10,61.0,17,0.588,0.467,pass,box,G003,複勝専門店＋Logic
中山(火),7,馬連,2,7,,100,13:10,13.3,6,0.926,0.847,pass,box,G003,複勝専門店＋Logic
中山(火),7,馬連,3,7,,100,13:10,8.2,3,0.822,0.734,pass,box,G003,複勝専門店＋Logic
中山(火),7,馬連,7,8,,100,13:10,35.7,8,1.606,1.355,buy,ref,G001,非馬
中山(火),8,馬連,1,4,,100,13:40,120.2,39,0.711,0.591,pass,box,G006,複勝専門店＋Logic
中山(火),10,3連複,2,5,7,100,14:50,30.8,9,0.789,0.658,pass,ref,G005,非馬
中山(火),10,馬単,2,5,,100,14:50,34.4,12,0.945,0.810,pass,ref,G004,非馬
中山(火),10,馬単,2,7,,100,14:50,65.0,25,1.015,0.919,apparent,ref,G004,非馬
中山(火),10,馬連,2,5,,100,14:50,13.0,4,0.793,0.708,pass,ref,G003,非馬
中山(火),10,馬連,2,7,,100,14:50,31.4,12,0.965,0.885,pass,ref,G003,非馬
中山(火),11,3連複,5,9,13,100,15:30,511.7,148,1.354,1.102,buy,ref,G008,非馬
中山(火),11,馬単,13,9,,100,15:30,493.6,142,1.225,0.995,apparent,ref,G007,非馬
中山(火),11,馬単,13,5,,100,15:30,197.8,68,1.065,0.895,apparent,ref,G007,非馬
中山(火),11,馬連,5,13,,100,15:30,81.5,25,1.052,0.946,apparent,ref,G006,非馬
中山(火),11,馬連,9,13,,100,15:30,286.0,72,1.476,1.163,buy,ref,G006,非馬
