競馬場,レース,式別,馬番1,馬番2,馬番3,金額,発走,オッズ,人気,EV,頑健下限,判定,出典,グループ
中山(火),4,馬連,6,8,,100,11:20,71.1,18,1.339,1.132,buy,box,G001
中山(火),4,馬連,6,9,,100,11:20,33.0,11,1.034,0.931,apparent,box,G001
中山(火),4,馬連,8,9,,100,11:20,137.0,27,0.921,0.703,pass,box,G001
中山(火),4,3連複,6,8,9,100,11:20,218.7,45,1.261,0.836,apparent,box,G002
中山(火),7,馬連,2,3,,100,13:10,61.0,17,0.588,0.467,pass,box,G003
中山(火),7,馬連,2,7,,100,13:10,13.3,6,0.926,0.847,pass,box,G003
中山(火),7,馬連,3,7,,100,13:10,8.2,3,0.822,0.734,pass,box,G003
中山(火),7,馬単,7,2,,100,13:10,18.2,7,0.889,0.852,pass,ref,G004
中山(火),7,馬単,7,3,,100,13:10,11.1,2,0.757,0.700,pass,ref,G004
中山(火),7,3連複,2,3,7,100,13:10,27.3,10,0.666,0.545,pass,box,G005
中山(火),8,馬連,1,4,,100,13:40,120.2,39,0.711,0.591,pass,box,G006
