date,race_id,jyo_code,venue,race_no,post_time,bet_type,bet_type_code,combo,amount,group_id,group_method,group_points,odds,ninki,ev,ev_low,judge,source,odds_time,finished,refunded,hit,payout_yen,payout_ninki,return,profit
20260922,202606040704,06,中山,4,11:20,馬連,4,06-08,100,G001,nagashi,3,71.1,18,1.339,1.132,buy,box,2026-09-22 10:15:47,1,,,,,0,-100
20260922,202606040704,06,中山,4,11:20,馬連,4,06-09,100,G001,nagashi,3,33.0,11,1.034,0.931,apparent,box,2026-09-22 10:15:47,1,,,,,0,-100
20260922,202606040704,06,中山,4,11:20,馬連,4,08-09,100,G001,nagashi,3,137.0,27,0.921,0.703,pass,box,2026-09-22 10:15:47,1,,,,,0,-100
20260922,202606040704,06,中山,4,11:20,3連複,7,06-08-09,100,G002,nagashi,1,218.7,45,1.261,0.836,apparent,box,2026-09-22 10:15:47,1,,,,,0,-100
20260922,202606040707,06,中山,7,13:10,馬連,4,02-03,100,G003,nagashi,3,61.0,17,0.588,0.467,pass,box,2026-09-22 10:06:12,1,,,,,0,-100
20260922,202606040707,06,中山,7,13:10,馬連,4,02-07,100,G003,nagashi,3,13.3,6,0.926,0.847,pass,box,2026-09-22 10:06:12,1,,,,,0,-100
20260922,202606040707,06,中山,7,13:10,馬連,4,03-07,100,G003,nagashi,3,8.2,3,0.822,0.734,pass,box,2026-09-22 10:06:12,1,,,,,0,-100
20260922,202606040707,06,中山,7,13:10,馬単,6,07>02,100,G004,nagashi_1st,2,18.2,7,0.889,0.852,pass,ref,2026-09-22 10:06:12,1,,,,,0,-100
20260922,202606040707,06,中山,7,13:10,馬単,6,07>03,100,G004,nagashi_1st,2,11.1,2,0.757,0.700,pass,ref,2026-09-22 10:06:12,1,,,,,0,-100
20260922,202606040707,06,中山,7,13:10,3連複,7,02-03-07,100,G005,nagashi,1,27.3,10,0.666,0.545,pass,box,2026-09-22 10:06:12,1,,,,,0,-100
20260922,202606040708,06,中山,8,13:40,馬連,4,01-04,100,G006,nagashi,1,120.2,39,0.711,0.591,pass,box,2026-09-22 10:35:56,1,,,,,0,-100
