競馬場,レース,式別,馬番1,馬番2,馬番3,金額,発走,オッズ,人気,EV,頑健下限,判定,出典,グループ
中山(土),6,馬連,2,3,,100,12:40,28.1,11,1.443,1.289,buy,ref,G001
中山(土),6,馬連,3,4,,100,12:40,26.5,9,1.368,1.247,buy,ref,G001
中山(土),6,馬単,3,2,,100,12:40,64.7,26,1.332,1.177,buy,ref,G002
中山(土),6,馬単,3,4,,100,12:40,62.6,24,1.294,1.156,buy,ref,G002
中山(土),6,馬単,3,7,,100,12:40,128.7,35,1.320,1.115,buy,ref,G002
中山(土),6,3連複,2,3,4,100,12:40,14.3,4,0.890,0.801,pass,ref,G003
中山(土),6,3連複,2,3,7,100,12:40,47.4,17,1.243,0.993,apparent,ref,G003
中山(土),6,3連複,3,4,7,100,12:40,38.6,14,1.018,0.835,apparent,ref,G003
阪神(土),9,馬連,7,8,,100,14:25,10.4,2,0.643,0.594,pass,ref,G013
阪神(土),9,馬連,3,7,,100,14:25,23.2,14,0.888,0.812,pass,ref,G013
阪神(土),9,馬単,7,8,,100,14:25,28.2,13,0.815,0.734,pass,ref,G014
阪神(土),9,馬単,7,3,,100,14:25,43.3,29,0.842,0.761,pass,ref,G014
阪神(土),9,3連複,3,7,8,100,14:25,20.6,6,0.645,0.581,pass,ref,G015
中山(土),10,馬連,5,7,,100,14:50,85.1,35,1.047,0.983,apparent,ref,G004
中山(土),10,馬連,4,7,,100,14:50,56.3,25,0.876,0.821,pass,ref,G004
中山(土),10,馬連,2,7,,100,14:50,15.1,1,0.396,0.365,pass,ref,G004
中山(土),10,馬単,7,5,,100,14:50,145.7,65,1.005,0.891,apparent,ref,G005
中山(土),10,馬単,7,4,,100,14:50,150.6,69,1.278,1.213,buy,ref,G005
中山(土),10,馬単,7,2,,100,14:50,24.5,1,0.327,0.302,pass,ref,G005
中山(土),10,3連複,4,5,7,100,14:50,790.1,268,2.066,1.908,buy,ref,G006
中山(土),10,3連複,2,5,7,100,14:50,147.8,39,0.634,0.565,pass,ref,G006
中山(土),10,3連複,2,4,7,100,14:50,126.4,30,0.672,0.590,pass,ref,G006
阪神(土),10,馬連,1,5,,100,15:05,14.9,4,0.774,0.692,pass,ref,G016
阪神(土),10,馬連,5,11,,100,15:05,20.5,7,0.750,0.684,pass,ref,G016
阪神(土),10,馬単,5,1,,100,15:05,34.7,11,0.831,0.719,pass,ref,G017
阪神(土),10,馬単,5,11,,100,15:05,44.6,16,0.800,0.718,pass,ref,G017
阪神(土),10,3連複,1,5,11,100,15:05,21.1,3,0.501,0.395,pass,ref,G018
中山(土),11,馬連,1,2,,100,15:30,28.4,11,0.631,0.570,pass,ref,G007
中山(土),11,馬連,1,3,,100,15:30,49.2,22,0.824,0.752,pass,ref,G007
中山(土),11,馬連,1,13,,100,15:30,81.1,32,0.865,0.748,pass,ref,G007
中山(土),11,馬単,1,2,,100,15:30,67.8,28,0.653,0.552,pass,ref,G008
中山(土),11,馬単,1,3,,100,15:30,122.5,55,0.934,0.819,pass,ref,G008
中山(土),11,馬単,1,13,,100,15:30,164.9,63,0.857,0.753,pass,ref,G008
中山(土),11,3連複,1,2,3,100,15:30,55.9,17,0.521,0.439,pass,ref,G009
中山(土),11,3連複,1,2,13,100,15:30,125.4,48,0.766,0.675,pass,ref,G009
中山(土),11,3連複,1,3,13,100,15:30,172.6,62,0.800,0.710,pass,ref,G009
阪神(土),11,馬連,1,14,,100,15:45,103.8,43,1.166,1.001,buy,ref,G019
阪神(土),11,馬連,1,13,,100,15:45,47.4,17,1.341,1.186,buy,ref,G019
阪神(土),11,馬単,1,14,,100,15:45,195.2,87,1.105,0.942,apparent,ref,G020
阪神(土),11,馬単,1,13,,100,15:45,131.1,57,1.615,1.336,buy,ref,G020
阪神(土),11,3連複,1,13,14,100,15:45,210.6,74,1.405,1.142,buy,ref,G021
中山(土),12,馬連,1,7,,100,16:10,22.3,5,0.773,0.685,pass,ref,G010
中山(土),12,馬連,1,8,,100,16:10,20.7,3,0.507,0.460,pass,ref,G010
中山(土),12,馬単,1,7,,100,16:10,58.0,20,0.948,0.815,pass,ref,G011
中山(土),12,馬単,1,8,,100,16:10,52.4,13,0.640,0.573,pass,ref,G011
中山(土),12,3連複,1,7,8,100,16:10,35.6,2,0.438,0.350,pass,ref,G012
阪神(土),12,馬連,6,7,,100,16:30,10.5,1,0.620,0.548,pass,ref,G022
阪神(土),12,馬連,7,14,,100,16:30,26.9,7,0.915,0.831,pass,ref,G022
阪神(土),12,馬単,7,6,,100,16:30,23.6,3,0.683,0.595,pass,ref,G023
阪神(土),12,馬単,7,14,,100,16:30,53.5,16,0.971,0.894,pass,ref,G023
阪神(土),12,馬単,7,8,,100,16:30,23.8,4,0.268,0.246,pass,ref,G023
阪神(土),12,3連複,6,7,14,100,16:30,46.6,8,0.894,0.696,pass,ref,G024
阪神(土),12,3連複,6,7,8,100,16:30,22.1,3,0.257,0.212,pass,ref,G024
阪神(土),12,3連複,7,8,14,100,16:30,61.1,16,0.415,0.360,pass,ref,G024
