date,race_id,jyo_code,venue,race_no,post_time,bet_type,bet_type_code,combo,amount,group_id,group_method,group_points,odds,ninki,ev,ev_low,judge,source,odds_time
20260926,202606040806,06,中山,6,12:40,馬連,4,02-03,100,G001,nagashi,2,28.1,11,1.443,1.289,buy,ref,2026-09-26 10:35:25
20260926,202606040806,06,中山,6,12:40,馬連,4,03-04,100,G001,nagashi,2,26.5,9,1.368,1.247,buy,ref,2026-09-26 10:35:25
20260926,202606040806,06,中山,6,12:40,馬単,6,03>02,100,G002,nagashi_1st,3,64.7,26,1.332,1.177,buy,ref,2026-09-26 10:35:25
20260926,202606040806,06,中山,6,12:40,馬単,6,03>04,100,G002,nagashi_1st,3,62.6,24,1.294,1.156,buy,ref,2026-09-26 10:35:25
20260926,202606040806,06,中山,6,12:40,馬単,6,03>07,100,G002,nagashi_1st,3,128.7,35,1.320,1.115,buy,ref,2026-09-26 10:35:25
20260926,202606040806,06,中山,6,12:40,3連複,7,02-03-04,100,G003,nagashi,3,14.3,4,0.890,0.801,pass,ref,2026-09-26 10:35:25
20260926,202606040806,06,中山,6,12:40,3連複,7,02-03-07,100,G003,nagashi,3,47.4,17,1.243,0.993,apparent,ref,2026-09-26 10:35:25
20260926,202606040806,06,中山,6,12:40,3連複,7,03-04-07,100,G003,nagashi,3,38.6,14,1.018,0.835,apparent,ref,2026-09-26 10:35:25
20260926,202609040809,09,阪神,9,14:25,馬連,4,07-08,100,G013,nagashi,2,10.4,2,0.643,0.594,pass,ref,2026-09-26 11:21:35
20260926,202609040809,09,阪神,9,14:25,馬連,4,03-07,100,G013,nagashi,2,23.2,14,0.888,0.812,pass,ref,2026-09-26 11:21:35
20260926,202609040809,09,阪神,9,14:25,馬単,6,07>08,100,G014,nagashi_1st,2,28.2,13,0.815,0.734,pass,ref,2026-09-26 11:21:35
20260926,202609040809,09,阪神,9,14:25,馬単,6,07>03,100,G014,nagashi_1st,2,43.3,29,0.842,0.761,pass,ref,2026-09-26 11:21:35
20260926,202609040809,09,阪神,9,14:25,3連複,7,03-07-08,100,G015,nagashi,1,20.6,6,0.645,0.581,pass,ref,2026-09-26 11:21:35
20260926,202606040810,06,中山,10,14:50,馬連,4,05-07,100,G004,nagashi,3,85.1,35,1.047,0.983,apparent,ref,2026-09-26 10:47:15
20260926,202606040810,06,中山,10,14:50,馬連,4,04-07,100,G004,nagashi,3,56.3,25,0.876,0.821,pass,ref,2026-09-26 10:47:15
20260926,202606040810,06,中山,10,14:50,馬連,4,02-07,100,G004,nagashi,3,15.1,1,0.396,0.365,pass,ref,2026-09-26 10:47:15
20260926,202606040810,06,中山,10,14:50,馬単,6,07>05,100,G005,nagashi_1st,3,145.7,65,1.005,0.891,apparent,ref,2026-09-26 10:47:15
20260926,202606040810,06,中山,10,14:50,馬単,6,07>04,100,G005,nagashi_1st,3,150.6,69,1.278,1.213,buy,ref,2026-09-26 10:47:15
20260926,202606040810,06,中山,10,14:50,馬単,6,07>02,100,G005,nagashi_1st,3,24.5,1,0.327,0.302,pass,ref,2026-09-26 10:47:15
20260926,202606040810,06,中山,10,14:50,3連複,7,04-05-07,100,G006,nagashi,3,790.1,268,2.066,1.908,buy,ref,2026-09-26 10:47:15
20260926,202606040810,06,中山,10,14:50,3連複,7,02-05-07,100,G006,nagashi,3,147.8,39,0.634,0.565,pass,ref,2026-09-26 10:47:15
20260926,202606040810,06,中山,10,14:50,3連複,7,02-04-07,100,G006,nagashi,3,126.4,30,0.672,0.590,pass,ref,2026-09-26 10:47:15
20260926,202609040810,09,阪神,10,15:05,馬連,4,01-05,100,G016,nagashi,2,14.9,4,0.774,0.692,pass,ref,2026-09-26 11:00:35
20260926,202609040810,09,阪神,10,15:05,馬連,4,05-11,100,G016,nagashi,2,20.5,7,0.750,0.684,pass,ref,2026-09-26 11:00:35
20260926,202609040810,09,阪神,10,15:05,馬単,6,05>01,100,G017,nagashi_1st,2,34.7,11,0.831,0.719,pass,ref,2026-09-26 11:00:35
20260926,202609040810,09,阪神,10,15:05,馬単,6,05>11,100,G017,nagashi_1st,2,44.6,16,0.800,0.718,pass,ref,2026-09-26 11:00:35
