date,race_id,jyo_code,venue,race_no,post_time,bet_type,bet_type_code,combo,amount,group_id,group_method,group_points,odds,ninki,ev,ev_low,judge,source,odds_time
20260926,202606040808,06,中山,8,13:40,馬連,4,01-07,100,G001,nagashi,3,23.2,9,0.611,0.524,pass,ref,2026-09-26 12:35:05
20260926,202606040808,06,中山,8,13:40,馬連,4,01-10,100,G001,nagashi,3,69.4,18,0.953,0.786,pass,ref,2026-09-26 12:35:05
20260926,202606040808,06,中山,8,13:40,馬連,4,01-12,100,G001,nagashi,3,9.0,2,0.862,0.743,pass,ref,2026-09-26 12:35:05
20260926,202606040808,06,中山,8,13:40,馬単,6,01>07,100,G002,nagashi_1st,3,41.8,15,0.602,0.504,pass,ref,2026-09-26 12:35:05
20260926,202606040808,06,中山,8,13:40,馬単,6,01>10,100,G002,nagashi_1st,3,118.8,39,0.960,0.710,pass,ref,2026-09-26 12:35:05
20260926,202606040808,06,中山,8,13:40,馬単,6,01>12,100,G002,nagashi_1st,3,21.1,6,0.884,0.720,pass,ref,2026-09-26 12:35:05
20260926,202606040808,06,中山,8,13:40,3連複,7,01-07-10,100,G003,nagashi,3,111.0,30,0.463,0.336,pass,ref,2026-09-26 12:35:05
20260926,202606040808,06,中山,8,13:40,3連複,7,01-07-12,100,G003,nagashi,3,16.3,3,0.445,0.329,pass,ref,2026-09-26 12:35:05
20260926,202606040808,06,中山,8,13:40,3連複,7,01-10-12,100,G003,nagashi,3,45.6,15,0.693,0.566,pass,ref,2026-09-26 12:35:05
20260926,202609040810,09,阪神,10,15:05,馬連,4,01-02,100,G004,nagashi,3,10.3,2,0.509,0.459,pass,ref,2026-09-26 13:00:40
20260926,202609040810,09,阪神,10,15:05,馬連,4,01-08,100,G004,nagashi,3,15.6,5,0.617,0.570,pass,ref,2026-09-26 13:00:40
20260926,202609040810,09,阪神,10,15:05,馬連,4,01-11,100,G004,nagashi,3,7.0,1,0.466,0.416,pass,ref,2026-09-26 13:00:40
20260926,202609040810,09,阪神,10,15:05,馬単,6,01>02,100,G005,nagashi_1st,4,17.8,3,0.486,0.450,pass,ref,2026-09-26 13:00:40
20260926,202609040810,09,阪神,10,15:05,馬単,6,01>08,100,G005,nagashi_1st,4,24.3,4,0.547,0.523,pass,ref,2026-09-26 13:00:40
20260926,202609040810,09,阪神,10,15:05,馬単,6,01>11,100,G005,nagashi_1st,4,11.2,1,0.395,0.359,pass,ref,2026-09-26 13:00:40
20260926,202609040810,09,阪神,10,15:05,馬単,6,01>03,100,G005,nagashi_1st,4,38.8,12,0.568,0.515,pass,ref,2026-09-26 13:00:40
20260926,202609040810,09,阪神,10,15:05,3連複,7,01-02-08,100,G006,nagashi,6,27.8,5,0.413,0.343,pass,ref,2026-09-26 13:00:40
20260926,202609040810,09,阪神,10,15:05,3連複,7,01-02-11,100,G006,nagashi,6,12.2,1,0.297,0.238,pass,ref,2026-09-26 13:00:40
20260926,202609040810,09,阪神,10,15:05,3連複,7,01-02-03,100,G006,nagashi,6,31.8,8,0.301,0.265,pass,ref,2026-09-26 13:00:40
20260926,202609040810,09,阪神,10,15:05,3連複,7,01-08-11,100,G006,nagashi,6,17.7,2,0.350,0.289,pass,ref,2026-09-26 13:00:40
20260926,202609040810,09,阪神,10,15:05,3連複,7,01-03-08,100,G006,nagashi,6,62.1,19,0.475,0.431,pass,ref,2026-09-26 13:00:40
20260926,202609040810,09,阪神,10,15:05,3連複,7,01-03-11,100,G006,nagashi,6,26.0,4,0.329,0.290,pass,ref,2026-09-26 13:00:40
20260926,202609040812,09,阪神,12,16:30,馬連,4,06-07,100,G007,nagashi,3,10.0,1,0.635,0.556,pass,ref,2026-09-26 12:25:30
20260926,202609040812,09,阪神,12,16:30,馬連,4,07-08,100,G007,nagashi,3,14.8,3,0.296,0.272,pass,ref,2026-09-26 12:25:30
20260926,202609040812,09,阪神,12,16:30,馬連,4,07-10,100,G007,nagashi,3,27.7,9,0.460,0.432,pass,ref,2026-09-26 12:25:30
20260926,202609040812,09,阪神,12,16:30,馬単,6,07>06,100,G008,nagashi_1st,4,21.1,2,0.647,0.556,pass,ref,2026-09-26 12:25:30
20260926,202609040812,09,阪神,12,16:30,馬単,6,07>08,100,G008,nagashi_1st,4,22.3,4,0.254,0.228,pass,ref,2026-09-26 12:25:30
20260926,202609040812,09,阪神,12,16:30,馬単,6,07>10,100,G008,nagashi_1st,4,50.3,16,0.486,0.422,pass,ref,2026-09-26 12:25:30
20260926,202609040812,09,阪神,12,16:30,馬単,6,07>04,100,G008,nagashi_1st,4,67.1,23,0.550,0.457,pass,ref,2026-09-26 12:25:30
20260926,202609040812,09,阪神,12,16:30,3連複,7,06-07-08,100,G009,nagashi,6,21.4,2,0.272,0.220,pass,ref,2026-09-26 12:25:30
20260926,202609040812,09,阪神,12,16:30,3連複,7,06-07-10,100,G009,nagashi,6,44.7,8,0.482,0.401,pass,ref,2026-09-26 12:25:30
20260926,202609040812,09,阪神,12,16:30,3連複,7,04-06-07,100,G009,nagashi,6,58.8,15,0.537,0.456,pass,ref,2026-09-26 12:25:30
20260926,202609040812,09,阪神,12,16:30,3連複,7,07-08-10,100,G009,nagashi,6,50.6,12,0.178,0.161,pass,ref,2026-09-26 12:25:30
20260926,202609040812,09,阪神,12,16:30,3連複,7,04-07-08,100,G009,nagashi,6,77.9,22,0.232,0.199,pass,ref,2026-09-26 12:25:30
20260926,202609040812,09,阪神,12,16:30,3連複,7,04-07-10,100,G009,nagashi,6,130.9,43,0.328,0.271,pass,ref,2026-09-26 12:25:30
