競馬場,レース,式別,馬番1,馬番2,馬番3,金額,発走,オッズ,人気,EV,頑健下限,判定,出典,グループ
中山(土),8,馬連,1,7,,100,13:40,23.2,9,0.611,0.524,pass,ref,G001
中山(土),8,馬連,1,10,,100,13:40,69.4,18,0.953,0.786,pass,ref,G001
中山(土),8,馬連,1,12,,100,13:40,9.0,2,0.862,0.743,pass,ref,G001
中山(土),8,馬単,1,7,,100,13:40,41.8,15,0.602,0.504,pass,ref,G002
中山(土),8,馬単,1,10,,100,13:40,118.8,39,0.960,0.710,pass,ref,G002
中山(土),8,馬単,1,12,,100,13:40,21.1,6,0.884,0.720,pass,ref,G002
中山(土),8,3連複,1,7,10,100,13:40,111.0,30,0.463,0.336,pass,ref,G003
中山(土),8,3連複,1,7,12,100,13:40,16.3,3,0.445,0.329,pass,ref,G003
中山(土),8,3連複,1,10,12,100,13:40,45.6,15,0.693,0.566,pass,ref,G003
阪神(土),10,馬連,1,2,,100,15:05,10.3,2,0.509,0.459,pass,ref,G004
阪神(土),10,馬連,1,8,,100,15:05,15.6,5,0.617,0.570,pass,ref,G004
阪神(土),10,馬連,1,11,,100,15:05,7.0,1,0.466,0.416,pass,ref,G004
阪神(土),10,馬単,1,2,,100,15:05,17.8,3,0.486,0.450,pass,ref,G005
阪神(土),10,馬単,1,8,,100,15:05,24.3,4,0.547,0.523,pass,ref,G005
阪神(土),10,馬単,1,11,,100,15:05,11.2,1,0.395,0.359,pass,ref,G005
阪神(土),10,馬単,1,3,,100,15:05,38.8,12,0.568,0.515,pass,ref,G005
阪神(土),10,3連複,1,2,8,100,15:05,27.8,5,0.413,0.343,pass,ref,G006
阪神(土),10,3連複,1,2,11,100,15:05,12.2,1,0.297,0.238,pass,ref,G006
阪神(土),10,3連複,1,2,3,100,15:05,31.8,8,0.301,0.265,pass,ref,G006
阪神(土),10,3連複,1,8,11,100,15:05,17.7,2,0.350,0.289,pass,ref,G006
阪神(土),10,3連複,1,3,8,100,15:05,62.1,19,0.475,0.431,pass,ref,G006
阪神(土),10,3連複,1,3,11,100,15:05,26.0,4,0.329,0.290,pass,ref,G006
阪神(土),12,馬連,7,8,,100,16:30,14.8,3,0.296,0.272,pass,ref,G007
阪神(土),12,馬連,7,10,,100,16:30,27.7,9,0.460,0.432,pass,ref,G007
阪神(土),12,馬単,7,10,,100,16:30,50.3,16,0.486,0.422,pass,ref,G008
阪神(土),12,馬単,7,4,,100,16:30,67.1,23,0.550,0.457,pass,ref,G008
阪神(土),12,3連複,6,7,10,100,16:30,44.7,8,0.482,0.401,pass,ref,G009
阪神(土),12,3連複,4,6,7,100,16:30,58.8,15,0.537,0.456,pass,ref,G009
阪神(土),12,3連複,7,8,10,100,16:30,50.6,12,0.178,0.161,pass,ref,G009
阪神(土),12,3連複,4,7,8,100,16:30,77.9,22,0.232,0.199,pass,ref,G009
阪神(土),12,3連複,4,7,10,100,16:30,130.9,43,0.328,0.271,pass,ref,G009
