競馬場,レース,式別,馬番1,馬番2,馬番3,金額,発走,オッズ,人気,EV,頑健下限,判定,出典,グループ
阪神(土),9,馬連,7,8,,100,14:25,10.4,2,0.643,0.594,pass,ref,G004
阪神(土),9,馬連,3,7,,100,14:25,23.2,14,0.888,0.812,pass,ref,G004
阪神(土),9,馬単,7,8,,100,14:25,28.2,13,0.815,0.734,pass,ref,G005
阪神(土),9,馬単,7,3,,100,14:25,43.3,29,0.842,0.761,pass,ref,G005
阪神(土),9,3連複,3,7,8,100,14:25,20.6,6,0.645,0.581,pass,ref,G006
阪神(土),10,馬連,1,5,,100,15:05,14.9,4,0.774,0.692,pass,ref,G007
阪神(土),10,馬連,5,11,,100,15:05,20.5,7,0.750,0.684,pass,ref,G007
阪神(土),10,馬単,5,1,,100,15:05,34.7,11,0.831,0.719,pass,ref,G008
阪神(土),10,馬単,5,11,,100,15:05,44.6,16,0.800,0.718,pass,ref,G008
阪神(土),10,3連複,1,5,11,100,15:05,21.1,3,0.501,0.395,pass,ref,G009
中山(土),11,馬連,1,2,,100,15:30,28.4,11,0.631,0.570,pass,ref,G001
中山(土),11,馬連,1,3,,100,15:30,49.2,22,0.824,0.752,pass,ref,G001
中山(土),11,馬連,1,13,,100,15:30,81.1,32,0.865,0.748,pass,ref,G001
中山(土),11,馬単,1,2,,100,15:30,67.8,28,0.653,0.552,pass,ref,G002
中山(土),11,馬単,1,3,,100,15:30,122.5,55,0.934,0.819,pass,ref,G002
中山(土),11,馬単,1,13,,100,15:30,164.9,63,0.857,0.753,pass,ref,G002
中山(土),11,3連複,1,2,3,100,15:30,55.9,17,0.521,0.439,pass,ref,G003
中山(土),11,3連複,1,2,13,100,15:30,125.4,48,0.766,0.675,pass,ref,G003
中山(土),11,3連複,1,3,13,100,15:30,172.6,62,0.800,0.710,pass,ref,G003
