date,race_id,source,venue,race_no,stars,umaban,mark,horse,chaku,ninki,odds,fuku,field_size,scratched
2026-06-06,202605030102,Logic,東京,2,,1,L,ラショナルポイント,3,1,1.8,110,16,
2026-06-06,202605030102,Logic,東京,2,,5,L,コーリンクレア,4,7,39.2,0,16,
2026-06-06,202605030103,Logic,東京,3,,15,L,レイズテンペスト,1,1,2.5,110,16,
2026-06-06,202605030106,Logic,東京,6,,9,L,ドゥーニ,10,7,16.8,0,16,
2026-06-06,202605030106,Logic,東京,6,,10,L,ノリキング,9,4,12.9,0,16,
2026-06-06,202605030107,Logic,東京,7,,2,L,アールグレイ,3,5,17.6,230,16,
2026-06-06,202605030107,Logic,東京,7,,8,L,ヤマメホープ,5,4,7.4,0,16,
2026-06-06,202605030108,Logic,東京,8,,3,L,ヴンダーバール,5,1,1.4,0,16,
2026-06-06,202605030108,Logic,東京,8,,4,L,ファンシーズ,3,5,20.6,950,16,
2026-06-06,202605030109,Logic,東京,9,,8,L,エリプティクカーブ,1,2,3.7,160,12,
2026-06-06,202605030109,Logic,東京,9,,10,L,ウップヘリーア,2,1,2.1,110,12,
2026-06-06,202605030110,Logic,東京,10,,4,L,クレパスキュラー,2,1,1.6,130,17,
2026-06-06,202605030110,Logic,東京,10,,6,L,ロジケープ,1,3,11.2,260,17,
2026-06-06,202605030111,Logic,東京,11,,8,L,ピエマンソン,3,6,24.1,340,16,
2026-06-06,202605030111,Logic,東京,11,,12,L,スナッピードレッサ,2,1,2.0,110,16,
2026-06-06,202605030112,Logic,東京,12,,10,L,ザーフィル,1,1,1.2,110,16,
2026-06-06,202605030112,Logic,東京,12,,13,L,カンレイスキー,11,9,66.6,0,16,
2026-06-06,202609030101,Logic,阪神,1,,1,L,コイバナ,6,5,14.0,0,16,
2026-06-06,202609030101,Logic,阪神,1,,4,L,アンティスマ,2,7,15.3,270,16,
2026-06-06,202609030102,Logic,阪神,2,,14,L,ミルトメテオ,8,6,14.8,0,16,
2026-06-06,202609030102,Logic,阪神,2,,15,L,アルムアポジェ,3,1,2.5,130,16,
2026-06-06,202609030103,Logic,阪神,3,,10,L,ドリームキャリー,1,4,5.6,190,16,
2026-06-06,202609030103,Logic,阪神,3,,15,L,ダノンロワール,3,7,20.9,500,16,
2026-06-06,202609030103,Logic,阪神,3,,16,L,ソルアモール,8,6,12.1,0,16,
2026-06-06,202609030104,Logic,阪神,4,,3,L,タナブイハチターボ,1,1,3.0,110,16,
2026-06-06,202609030104,Logic,阪神,4,,5,L,ハクサンテドリガワ,7,6,23.3,0,16,
2026-06-06,202609030106,Logic,阪神,6,,3,L,ジーティーピカソ,6,3,5.1,0,16,
2026-06-06,202609030106,Logic,阪神,6,,5,L,スパルタンエックス,2,6,23.5,430,16,
2026-06-06,202609030107,Logic,阪神,7,,3,L,オメガヒストリー,2,10,52.6,2550,18,
2026-06-06,202609030107,Logic,阪神,7,,11,L,レインボーステート,4,2,6.3,0,18,
2026-06-06,202609030108,Logic,阪神,8,,6,L,ヨカオウ,5,3,4.6,0,9,
2026-06-06,202609030108,Logic,阪神,8,,8,L,フウセン,2,4,5.1,170,9,
2026-06-06,202609030108,Logic,阪神,8,,9,L,オーシンエス,9,8,47.7,0,9,
2026-06-06,202609030109,Logic,阪神,9,,3,L,カフジエメンタール,1,1,1.6,110,9,
2026-06-06,202609030110,Logic,阪神,10,,5,L,ドゥラエテルノ,6,3,5.6,0,12,
2026-06-06,202609030110,Logic,阪神,10,,6,L,ボクマダネムイヨ,5,1,1.6,0,12,
2026-06-06,202609030111,Logic,阪神,11,,1,L,ミュージシャン,2,1,2.6,130,11,
2026-06-06,202609030111,Logic,阪神,11,,2,L,ジーティーダーリン,1,7,20.2,380,11,
2026-06-06,202609030112,Logic,阪神,12,,8,L,サマーナイト,6,7,23.2,0,16,
2026-06-06,202609030112,Logic,阪神,12,,12,L,ゴメンネジロー,15,4,6.5,0,16,
2026-06-07,202605030201,Logic,東京,1,,3,L,キタノローズ,7,6,9.1,0,16,
2026-06-07,202605030201,Logic,東京,1,,4,L,ユキノサイエンス,2,10,37.4,760,16,
2026-06-07,202605030201,Logic,東京,1,,5,L,カーボフリオ,6,1,3.2,0,16,
2026-06-07,202605030202,Logic,東京,2,,6,L,マスカルポーネ,11,8,24.4,0,16,
2026-06-07,202605030202,Logic,東京,2,,7,L,ネイティヴプライド,5,5,13.0,0,16,
2026-06-07,202605030203,Logic,東京,3,,11,L,ウェスケンジントン,3,4,19.1,240,16,
2026-06-07,202605030203,Logic,東京,3,,16,L,エターナルホープ,4,3,5.6,0,16,
2026-06-07,202605030204,Logic,東京,4,,16,L,バンオンタイム,3,1,2.8,140,18,
2026-06-07,202605030206,Logic,東京,6,,4,L,フェイスリフト,3,1,1.9,110,16,
2026-06-07,202605030207,Logic,東京,7,,7,L,パータリプトラ,10,4,7.2,0,16,
2026-06-07,202605030207,Logic,東京,7,,8,L,ベアハンドキャッチ,,,,0,16,1
2026-06-07,202605030208,Logic,東京,8,,3,L,スワローシチー,2,3,12.9,360,17,
2026-06-07,202605030208,Logic,東京,8,,6,L,サトノラポール,11,12,73.9,0,17,
2026-06-07,202605030209,Logic,東京,9,,6,L,ゴーラッキー,1,1,1.4,110,8,
2026-06-07,202605030210,Logic,東京,10,,10,L,マジッククッキー,4,1,1.4,0,16,
2026-06-07,202605030210,Logic,東京,10,,13,L,キョウエイカンセ,2,6,23.9,610,16,
2026-06-07,202605030212,Logic,東京,12,,8,L,セントラルヴァレー,12,8,30.1,0,16,
2026-06-07,202605030212,Logic,東京,12,,10,L,マクリール,1,1,1.9,130,16,
2026-06-07,202609030202,Logic,阪神,2,,7,L,トラカイキャッスル,8,9,23.8,0,15,
2026-06-07,202609030202,Logic,阪神,2,,9,L,メイショウプレマ,7,3,5.2,0,15,
2026-06-07,202609030203,Logic,阪神,3,,6,L,リバーソニック,4,3,3.8,0,16,
2026-06-07,202609030203,Logic,阪神,3,,7,L,ボクサークラブ,8,4,9.6,0,16,
2026-06-07,202609030204,Logic,阪神,4,,1,L,アンリミテッド,6,4,8.8,0,16,
2026-06-07,202609030204,Logic,阪神,4,,3,L,ビッグヒーロー,3,1,1.8,120,16,
2026-06-07,202609030206,Logic,阪神,6,,10,L,レイワノキセキ,9,7,34.4,0,16,
2026-06-07,202609030206,Logic,阪神,6,,11,L,ビップヴォルフ,2,4,5.4,160,16,
2026-06-07,202609030207,Logic,阪神,7,,13,L,ザラタン,5,7,27.5,0,16,
2026-06-07,202609030207,Logic,阪神,7,,16,L,アロマフェリス,3,2,4.1,150,16,
2026-06-07,202609030208,Logic,阪神,8,,6,L,ダンデノン,2,1,2.7,140,18,
2026-06-07,202609030209,Logic,阪神,9,,14,L,ラヴオントップ,3,7,32.1,470,16,
2026-06-07,202609030209,Logic,阪神,9,,16,L,ポッドドンナー,5,5,10.0,0,16,
2026-06-07,202609030210,Logic,阪神,10,,5,L,ジョイエッロ,2,1,1.4,110,9,
2026-06-07,202609030211,Logic,阪神,11,,6,L,アンズアメ,1,1,3.4,160,16,
2026-06-07,202609030212,Logic,阪神,12,,3,L,チェリヴェント,1,1,2.1,120,12,
2026-06-07,202609030212,Logic,阪神,12,,7,L,オーレアミスト,10,7,24.5,0,12,
2026-06-07,202609030212,Logic,阪神,12,,10,L,ガウラディスコ,5,4,8.8,0,12,
2026-06-13,202602010101,Logic,函館,1,,7,L,アルサック,2,4,7.4,310,16,
2026-06-13,202602010101,Logic,函館,1,,9,L,ニシノマーレ,9,1,3.2,0,16,
2026-06-13,202602010102,Logic,函館,2,,7,L,ビーチイン,1,4,6.2,180,14,
2026-06-13,202602010102,Logic,函館,2,,10,L,テンレッドサン,3,1,3.1,150,14,
2026-06-13,202602010103,Logic,函館,3,,4,L,メイワメジェール,7,5,8.7,0,12,
2026-06-13,202602010103,Logic,函館,3,,6,L,クロナ,1,4,8.7,300,12,
2026-06-13,202602010104,Logic,函館,4,,7,L,ホウオウファミリー,2,4,5.8,240,15,
2026-06-13,202602010104,Logic,函館,4,,8,L,ノリマル,3,5,7.5,200,15,
2026-06-13,202602010106,Logic,函館,6,,6,L,サンオブザサン,6,6,32.3,0,12,
2026-06-13,202602010106,Logic,函館,6,,10,L,コイオステソーロ,2,1,2.8,130,12,
2026-06-13,202602010106,Logic,函館,6,,11,L,キセログラフィカ,10,3,3.3,0,12,
2026-06-13,202602010107,Logic,函館,7,,6,L,カイショー,3,1,2.0,110,8,
2026-06-13,202602010107,Logic,函館,7,,7,L,アンバーニードル,8,3,7.5,0,8,
2026-06-13,202602010108,Logic,函館,8,,7,L,キャンドルマス,4,4,10.2,0,12,
2026-06-13,202602010108,Logic,函館,8,,8,L,ジャスパーノベル,7,8,26.2,0,12,
2026-06-13,202602010109,Logic,函館,9,,10,L,カムアップローゼス,4,1,2.6,0,11,
2026-06-13,202602010110,Logic,函館,10,,3,L,ハートメテオ,10,1,3.7,0,16,
2026-06-13,202602010110,Logic,函館,10,,4,L,カテリーナ,1,5,8.0,330,16,
2026-06-13,202602010112,Logic,函館,12,,4,L,スマートブル,11,10,42.6,0,12,
2026-06-13,202602010112,Logic,函館,12,,7,L,ホウオウバローロ,8,6,7.4,0,12,
2026-06-13,202602010112,Logic,函館,12,,9,L,ハヤブサオヒメサマ,1,9,29.8,660,12,
2026-06-13,202605030301,Logic,東京,1,,2,L,ゼフィリア,11,5,11.3,0,16,
2026-06-13,202605030301,Logic,東京,1,,5,L,ストーリーオブラブ,1,4,8.3,270,16,
2026-06-13,202605030302,Logic,東京,2,,3,L,ゴールドエンバー,8,6,11.9,0,18,
2026-06-13,202605030302,Logic,東京,2,,6,L,ヴァルカンテソーロ,2,1,2.8,150,18,
2026-06-13,202605030303,Logic,東京,3,,12,L,デルマカイモン,10,9,38.8,0,16,
2026-06-13,202605030303,Logic,東京,3,,15,L,キリミツ,1,3,4.1,150,16,
2026-06-13,202605030307,Logic,東京,7,,3,L,ロケットパンチ,1,6,10.6,360,16,
2026-06-13,202605030307,Logic,東京,7,,9,L,ツインドライヴ,5,5,8.4,0,16,
2026-06-13,202605030308,Logic,東京,8,,1,L,インプロペリア,1,1,2.5,190,18,
2026-06-13,202605030308,Logic,東京,8,,2,L,ハッピーラッキー,5,3,7.3,0,18,
2026-06-13,202605030308,Logic,東京,8,,10,L,タイキオーベロン,9,8,33.2,0,18,
2026-06-13,202605030309,Logic,東京,9,,9,L,ビービーアジャイル,3,1,1.6,110,14,
2026-06-13,202605030309,Logic,東京,9,,14,L,エイカイソウル,14,2,4.6,0,14,
